author,date,hash,message
BlackPeter13,2023-01-22 22:48:08,39532ea0462446e58ae8cb793716a402bcbe3e59,"Merge pull request #2 from BlackPeter13/snyk-fix-36d5d774440bdd38438c92f4a0c6a86a

[Snyk] Security upgrade python from 3.10-buster to 3.12.0a3-slim-bullseye"
snyk-bot,2023-01-22 22:47:28,1d57ffd936a19bacfcd59f31d21dd7bce2848d36,"fix: tensorflow/tools/ci_build/Dockerfile.micro to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-DEBIAN10-CURL-3065760
- https://snyk.io/vuln/SNYK-DEBIAN10-CURL-3065760
- https://snyk.io/vuln/SNYK-DEBIAN10-CURL-3065760
- https://snyk.io/vuln/SNYK-DEBIAN10-CURL-3065760
- https://snyk.io/vuln/SNYK-DEBIAN10-LIBDE265-3227415"
BlackPeter13,2023-01-22 19:02:32,14c267fdd6aeff6c7ce4384aacb625c65760cdb9,"Merge pull request #1 from BlackPeter13/snyk-fix-61921d7e1bb993678d913b0f6530e4d7

[Snyk] Security upgrade python from 3.9.0-buster to 3.10-buster"
snyk-bot,2023-01-22 19:02:20,a569e67aad141b7ed70c1c1daad0ca7f635835c6,"fix: tensorflow/tools/ci_build/Dockerfile.micro to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-DEBIAN10-OPENSSL-1569403
- https://snyk.io/vuln/SNYK-DEBIAN10-OPENSSL-2807585
- https://snyk.io/vuln/SNYK-DEBIAN10-OPENSSL-2933515
- https://snyk.io/vuln/SNYK-DEBIAN10-PYTHON37-1063182
- https://snyk.io/vuln/SNYK-DEBIAN10-PYTHON37-3090928"
Jun Xu,2023-01-19 23:27:21,cc1d87130e39a862fcc6bea20a4da4e6bda119e0,"[Security] Update int overflow fix in ragged range.

So ASAN won't fail.

PiperOrigin-RevId: 503281076"
Antonio Sanchez,2023-01-17 19:24:45,e3c92d192659e140d13e1c6665894a7a045a1bf4,"Fix histogram overflow vulnerability.

Changed order of cast and subtraction to avoid overflows.

PiperOrigin-RevId: 502640700"
Zhufeng Pan,2023-01-12 21:26:50,ee50d1e00f81f62a4517453f721c634bbb478307,"Fix security vulnerability with FractionalMax(AVG)Pool with illegal pooling_ratio

PiperOrigin-RevId: 501651261"
Yong Tang,2023-01-08 01:08:34,b34f250825ff5b6f42731126980a7fc32cecf938,"Update curl to 7.87.0

This PR updates curl to 7.87.0 to fix the following vulnerabilities in previous 7.86.0 inside tensorflow:

- CVE-2022-43552: HTTP Proxy deny use-after-free        2022-12-21
- CVE-2022-43551: Another HSTS bypass via IDN   2022-12-21

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Zhufeng Pan,2022-11-08 19:12:10,948fe6369a5711d4b4568ea9bbf6015c6dfb77e2,"Fix nn.conv3d_transpose security vulnerability with illegal input shape

PiperOrigin-RevId: 487000656"
A. Unique TensorFlower,2022-10-24 21:30:10,216525144ee7c910296f5b05d214ca1327c9ce48,"Fix security vulnerability with FractionalMax(AVG)Pool with illegal pooling_ratio

PiperOrigin-RevId: 483486453"
Alan Liu,2022-10-05 21:18:36,00c821af032ba9e5f5fa3fe14690c8d28a657624,"Fix tf.raw_ops.ResizeNearestNeighborGrad vulnerability with large dimensions.

Note: This fix will have to be cherry picked in r2.10, r2.9, and r2.8.
PiperOrigin-RevId: 479141644"
Alan Liu,2022-10-05 20:18:49,8faa6ea692985dbe6ce10e1a3168e0bd60a723ba,"Fix tf.raw_ops.ImageProjectiveTransformV2 vulnerability with large output_shape.

Note: This fix will have to be cherry picked in r2.10, r2.9, and r2.8.
PiperOrigin-RevId: 479125772"
A. Unique TensorFlower,2022-09-29 20:08:03,3ee803a2245ea1f77afa82a635963002bbac9d56,"Security vulnerability fix for Out of Bound error in ThreadUnsafeUnigramCandidateSampler.

PiperOrigin-RevId: 477802556"
Isha Arkatkar,2022-09-29 18:14:49,7126aa8e892355ec12999e08fae8db344b0ae8ad,"Security vulnerability fix for Out of Bound error in ThreadUnsafeUnigramCandidateSampler.

PiperOrigin-RevId: 477773241"
Alan Liu,2022-09-28 20:54:50,fc33f3dc4c14051a83eec6535b608abe1d355fde,"Fix tf.raw_ops.TensorListConcat vulnerability (segfault).

Check that the element_shape input is valid.
Add graph/eager unit tests.

Note: This fix will have to be cherry picked in r2.10, r2.9, and r2.8.
PiperOrigin-RevId: 477544091"
A. Unique TensorFlower,2022-09-28 18:08:21,d71090c3e5ca325bdf4b02eb236cfb3ee823e927,"Fix security vulnerability with FractionalMaxPoolGrad

PiperOrigin-RevId: 477500477"
Sagun Bajra,2022-09-27 21:50:36,eaf30105b048833e58b6b4def707e789583144ed,"Fix security vulnerability with calling ParseInt64Value with an invalid py_value.

PiperOrigin-RevId: 477281263"
Alan Liu,2022-09-27 18:26:10,bf9932fc907aff0e9e8cccf769e8b00d30fd81a1,"Fix tf.raw_ops.TensorListScatterV2 vulnerability with non-scalar input.

Check that the num_elements input is valid.
Add graph/eager unit tests. Graph mode was already ok but eager mode was not.

Note: This fix will have to be cherry picked in r2.10, r2.9, and r2.8.
PiperOrigin-RevId: 477225661"
Alan Liu,2022-09-26 22:10:22,888e34b49009a4e734c27ab0c43b0b5102682c56,"Fix tf.raw_ops.TensorListResize vulnerability with non-scalar input.

Check that the size input is valid.
Add graph/eager unit tests. Graph mode was already ok but eager mode was not.

Note: This fix will have to be cherry picked in r2.10, r2.9, and r2.8.
PiperOrigin-RevId: 477002316"
Antonio Sanchez,2022-09-26 20:45:03,e9e95553e5411834d215e6770c81a83a3d0866ce,"Fix pywrap attribute read security vulnerability.

If a list of quantized tensors is assigned to an attribute, the pywrap code was failing to
parse the tensor and returning a `nullptr`, which wasn't caught.  Here we check the return
value and set an appropriate error status.

PiperOrigin-RevId: 476981029"
Alan Liu,2022-09-22 16:16:04,02400ea266bd811fc016a848445de1bbff3a23a0,"Fix tf.math.sobol_sample vulnerability with non-scalar inputs.

Check that given inputs are valid.
Add graph/eager unit tests. Graph mode was already ok but eager mode was not.

PiperOrigin-RevId: 476117492"
Laura Pak,2022-08-08 23:42:20,a3943430b5ef27e233de50afdf784d264d65336a,"Fix tf.raw_ops.EmptyTensorList vulnerability from non scalar `num_elements`.

PiperOrigin-RevId: 466185522"
Laura Pak,2022-08-05 19:41:45,e9863e9a9cbde182fc86d03be8081dd45aa9aaa3,"Fix tf.raw_ops.EmptyTensorList vulnerability from non scalar `num_elements`.

PiperOrigin-RevId: 465625977"
Laura Pak,2022-08-04 18:34:01,aca766ac7693bf29ed0df55ad6bfcc78f35e7f48,"Fix tf.raw_ops. QuantizedMatMul vulnerability from non scalar min/max a/b arguments.

PiperOrigin-RevId: 465364257"
unknown,2022-07-23 14:11:51,2c443c6b497c15d038d1aeb17bfdefa374e9d939,Fix markdown files in security.md and issues.md
A. Unique TensorFlower,2022-07-21 03:55:19,03a659d7be9a1154fdf5eeac221e5950fec07dad,"Fix security vulnerability with FractionalAvgPoolGrad

PiperOrigin-RevId: 462292194"
Jun Xu,2022-07-19 17:21:30,88f93dfe691563baa4ae1e80ccde2d5c7a143821,"[security] Fix failed shape check in RaggedTensorToVariant.

`row_splits` must have rank 1.

PiperOrigin-RevId: 461915027"
Alan Liu,2022-07-19 16:48:55,c8ba76d48567aed347508e0552a257641931024d,"Fix tf.raw_ops.EmptyTensorList vulnerability with invalid `element_shape`.

Check that given `element_shape` is valid.
Add graph/eager unit tests. Graph mode was already ok but eager mode was not.

PiperOrigin-RevId: 461906461"
Jun Xu,2022-07-19 00:03:44,37cefa91bee4eace55715eeef43720b958a01192,"[security] Fix int overflow in RaggedRangeOp.

PiperOrigin-RevId: 461749624"
A. Unique TensorFlower,2022-07-18 22:04:51,3a6ac52664c6c095aa2b114e742b0aa17fdce78f,"Fix security vulnerability with AvgPoolGrad

PiperOrigin-RevId: 461724457"
A. Unique TensorFlower,2022-07-18 21:57:29,8741e57d163a079db05a7107a7609af70931def4,"Fix security vulnerability with FractionalMaxPoolGrad

PiperOrigin-RevId: 461722693"
Alan Liu,2022-07-18 17:50:54,5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,"Fix tf.raw_ops.SaveSlices vulnerability with unsupported dtypes.

Check that given dtype is supported and emit a descriptive error if not.

PiperOrigin-RevId: 461660795"
A. Unique TensorFlower,2022-07-15 21:49:36,9178ac9d6389bdc54638ab913ea0e419234d14eb,"Fix security vulnerability with AvgPool3DGrad.

PiperOrigin-RevId: 461244371"
Sagun Bajra,2022-07-14 17:16:55,5f945fc6409a3c1e90d6970c9292f805f6e6ddf2,"Fix security vulnerability with UnbatchGradKernel

PiperOrigin-RevId: 460992964"
Sagun Bajra,2022-07-13 23:13:13,bf4c14353c2328636a18bfad1e151052c81d5f43,"Fix security vulnerability with DenseBincountOp

PiperOrigin-RevId: 460826735"
Alan Liu,2022-07-13 22:37:48,bf6b45244992e2ee543c258e519489659c99fb7f,"Fix tf.raw_ops.AudioSummaryV2 vulnerability with invalid `sample_rate`.

Check that `sample_rate` has the required shape.

PiperOrigin-RevId: 460819553"
Alan Liu,2022-07-13 16:54:08,cf70b79d2662c0d3c6af74583641e345fc939467,"Fix tf.raw_ops.SetSize vulnerability with invalid input arg specifying shape.

Check that given input is a 1D tensor, as required.

PiperOrigin-RevId: 460740463"
Sagun Bajra,2022-07-13 16:46:48,bd90b3efab4ec958b228cd7cfe9125be1c0cf255,"Fix security vulnerability with LRNGradOp

PiperOrigin-RevId: 460738938"
Mihai Maruseac,2022-05-19 15:47:06,dddbc30cd16de33b55ad3b592001661a4ae58f10,"Fix tf.raw_ops.EditDistance vulnerability with negative indices.

PiperOrigin-RevId: 449753736"
George Karpenkov,2022-05-19 09:22:48,4510c68b7a32547e14f7b88c2bd5a59640380073,"Fix tf.raw_ops.EditDistance vulnerability with negative indices.

Check that indices are non-negative. Fix several identical code sites.
Clean up grammar in error message.

PiperOrigin-RevId: 449690827"
Yong Tang,2022-05-11 14:49:42,142cb705bd237bb635ac4916e8640c0dd441020e,"Update curl to latest 7.83.1

This PR updates curl to latest 7.83.1 to fix the following vulnerabilities in 7.83.0:
- 121	CVE-2022-30115: HSTS bypass via trailing dot
- 120	CVE-2022-27782: TLS and SSH connection too eager reuse
- 119	CVE-2022-27781: CERTINFO never-ending busy-loop
- 118	CVE-2022-27780: percent-encoded path separator in URL host
- 117	CVE-2022-27779: cookie for trailing dot TLD
- 116	CVE-2022-27778: curl removes wrong file on error

See https://curl.se/docs/security.html for details

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Antonio Sanchez,2022-05-02 23:10:45,ea50a40e84f6bff15a0912728e35b657548cef11,"Fix failed check in SparseTensorToCSRSparseMatrix

Security vulnerability fix. A `CHECK` fails if inputing either an empty `dense_shape`,
or a non-rank-2 `indices`. Added appropriate checks and tests.

PiperOrigin-RevId: 446053984"
Sagun Bajra,2022-05-02 21:21:09,803404044ae7a1efac48ba82d74111fce1ddb09a,"Fix security vulnerability with LSTMBlockCellOp

PiperOrigin-RevId: 446028341"
Antonio Sanchez,2022-04-30 04:07:06,a5b89cd68c02329d793356bda85d079e9e69b4e7,"Fix empty resource handle vulnerability.

Some ops that attempt to extract a resource handle from user input
can lead to nullptr dereferences.  This returns an error in such
a case.

PiperOrigin-RevId: 445571938"
Sagun Bajra,2022-04-29 23:08:37,acd56b8bcb72b163c834ae4f18469047b001fadf,"Fix security vulnerability with SpaceToBatchNDOp.

PiperOrigin-RevId: 445527615"
